report_description,report_link,report_date,report_mdufa_period,source,page,table_number,organization,program,table_title,metric_type,performance_metric,fy,value
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2011,14%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2012,80%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 goal -- Percent within 280 days,2008,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 goal -- Percent within 280 days,2009,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 goal -- Percent within 280 days,2010,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 goal -- Percent within 280 days,2011,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 goal -- Percent within 280 days,2012,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Tier 2 Goal met(yes/no/unknown),2008,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Tier 2 Goal met(yes/no/unknown),2009,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Tier 2 Goal met(yes/no/unknown),2010,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Tier 2 Goal met(yes/no/unknown),2011,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Tier 2 Goal met(yes/no/unknown),2012,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2008,50%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2009,75%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2010,83%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2011,57%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2012,100%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2008,50%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2009,75%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2010,83%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2011,57%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2012,100%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Cohort status,2008,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Cohort status,2009,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Cohort status,2010,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Cohort status,2011,Open
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,text,Cohort status,2012,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Workload (Cycle Started),2008,57
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Workload (Cycle Started),2009,90
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Workload (Cycle Started),2010,104
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Workload (Cycle Started),2011,85
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Workload (Cycle Started),2012,64
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Total FDA Decision,2008,57
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Total FDA Decision,2009,90
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Total FDA Decision,2010,104
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Total FDA Decision,2011,85
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,integer,Total FDA Decision,2012,64
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 goal -- Percent within 90 Days,2008,75%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 goal -- Percent within 90 Days,2009,75%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 goal -- Percent within 90 Days,2010,75%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 goal -- Percent within 90 Days,2011,75%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 goal -- Percent within 90 Days,2012,75%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 1 Goal met(yes/no/unknown),2008,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 1 Goal met(yes/no/unknown),2009,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 1 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 1 Goal met(yes/no/unknown),2011,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 1 Goal met(yes/no/unknown),2012,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Best Case,2008,54%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Best Case,2009,69%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Best Case,2010,78%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Best Case,2011,86%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Best Case,2012,70%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Worst Case,2008,54%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Worst Case,2009,69%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Worst Case,2010,78%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Worst Case,2011,86%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 1 Goal Pending Performance-Worst Case,2012,70%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 goal -- Percent within 120 days,2008,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 goal -- Percent within 120 days,2009,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 goal -- Percent within 120 days,2010,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 goal -- Percent within 120 days,2011,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 goal -- Percent within 120 days,2012,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 2 Goal met(yes/no/unknown),2008,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 2 Goal met(yes/no/unknown),2009,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 2 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 2 Goal met(yes/no/unknown),2011,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Tier 2 Goal met(yes/no/unknown),2012,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Best Case,2008,88%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Best Case,2009,92%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Best Case,2010,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Best Case,2011,95%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Best Case,2012,91%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Worst Case,2008,88%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Worst Case,2009,92%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Worst Case,2010,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Worst Case,2011,95%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,percent,Tier 2 Goal Pending Performance-Worst Case,2012,91%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Cohort status,2008,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Cohort status,2009,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Cohort status,2010,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Cohort status,2011,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Modular PMA),3,3,CDRH,Modular PMA,Modular PMA,text,Cohort status,2012,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Workload (Filed to Date),2008,171
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Workload (Filed to Date),2009,164
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Workload (Filed to Date),2010,157
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Workload (Filed to Date),2011,147
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Workload (Filed to Date),2012,216
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Total FDA Decision,2008,161
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Total FDA Decision,2009,157
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Total FDA Decision,2010,132
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Total FDA Decision,2011,130
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,integer,Total FDA Decision,2012,194
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,percent,Tier 1 goal -- Percent within 180 Days,2008,85%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,percent,Tier 1 goal -- Percent within 180 Days,2009,85%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,percent,Tier 1 goal -- Percent within 180 Days,2010,85%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,percent,Tier 1 goal -- Percent within 180 Days,2011,85%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,percent,Tier 1 goal -- Percent within 180 Days,2012,85%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,text,Tier 1 Goal met(yes/no/unknown),2008,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,text,Tier 1 Goal met(yes/no/unknown),2009,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,text,Tier 1 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (180-day PMA Supplements),4,4,CDRH,180-day PMA Supplements,180-day PMA Supplements,text,Tier 1 Goal met(yes/no/unknown),2011,yes
